name,inserted_value,name_normalized,match_status,mapping_type,is_default_new_ward,old_ward,old_district,old_province,old_ward_code,old_district_code,old_province_code,old_full_address,new_ward,new_province,new_ward_code,new_province_code,new_full_address,match_note
Phường Cống Vị,1,Phường Cống Vị,MAPPED_DIVIDED,divided,TRUE,Phường Cống Vị,Quận Ba Đình,Thành phố Hà Nội,00007,001,01,"Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội",Phường Ngọc Hà,Thành phố Hà Nội,00008,01,"Phường Ngọc Hà, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Cống Vị,1,Phường Cống Vị,MAPPED_DIVIDED,divided,FALSE,Phường Cống Vị,Quận Ba Đình,Thành phố Hà Nội,00007,001,01,"Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội",Phường Giảng Võ,Thành phố Hà Nội,00025,01,"Phường Giảng Võ, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Điện Biên,2,Phường Điện Biên,MAPPED_DIVIDED,divided,TRUE,Phường Điện Biên,Quận Ba Đình,Thành phố Hà Nội,00019,001,01,"Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",Phường Ba Đình,Thành phố Hà Nội,00004,01,"Phường Ba Đình, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Điện Biên,2,Phường Điện Biên,MAPPED_DIVIDED,divided,FALSE,Phường Điện Biên,Quận Ba Đình,Thành phố Hà Nội,00019,001,01,"Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",Phường Hoàn Kiếm,Thành phố Hà Nội,00070,01,"Phường Hoàn Kiếm, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Điện Biên,2,Phường Điện Biên,MAPPED_DIVIDED,divided,FALSE,Phường Điện Biên,Quận Ba Đình,Thành phố Hà Nội,00019,001,01,"Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",Phường Văn Miếu - Quốc Tử Giám,Thành phố Hà Nội,00226,01,"Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Điện Biên,2,Phường Điện Biên,MAPPED_DIVIDED,divided,FALSE,Phường Điện Biên,Quận Ba Đình,Thành phố Hà Nội,00019,001,01,"Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",Phường Ô Chợ Dừa,Thành phố Hà Nội,00190,01,"Phường Ô Chợ Dừa, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Đội Cấn,3,Phường Đội Cấn,MAPPED_DIVIDED,divided,TRUE,Phường Đội Cấn,Quận Ba Đình,Thành phố Hà Nội,00022,001,01,"Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",Phường Ngọc Hà,Thành phố Hà Nội,00008,01,"Phường Ngọc Hà, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Đội Cấn,3,Phường Đội Cấn,MAPPED_DIVIDED,divided,FALSE,Phường Đội Cấn,Quận Ba Đình,Thành phố Hà Nội,00022,001,01,"Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",Phường Ba Đình,Thành phố Hà Nội,00004,01,"Phường Ba Đình, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Giảng Võ,4,Phường Giảng Võ,MAPPED,unchanged,TRUE,Phường Giảng Võ,Quận Ba Đình,Thành phố Hà Nội,00031,001,01,"Phường Giảng Võ, Quận Ba Đình, Thành phố Hà Nội",Phường Giảng Võ,Thành phố Hà Nội,00025,01,"Phường Giảng Võ, Thành phố Hà Nội",
Phường Kim Mã,5,Phường Kim Mã,MAPPED_DIVIDED,divided,TRUE,Phường Kim Mã,Quận Ba Đình,Thành phố Hà Nội,00028,001,01,"Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội",Phường Ngọc Hà,Thành phố Hà Nội,00008,01,"Phường Ngọc Hà, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Kim Mã,5,Phường Kim Mã,MAPPED_DIVIDED,divided,FALSE,Phường Kim Mã,Quận Ba Đình,Thành phố Hà Nội,00028,001,01,"Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội",Phường Ba Đình,Thành phố Hà Nội,00004,01,"Phường Ba Đình, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Kim Mã,5,Phường Kim Mã,MAPPED_DIVIDED,divided,FALSE,Phường Kim Mã,Quận Ba Đình,Thành phố Hà Nội,00028,001,01,"Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội",Phường Giảng Võ,Thành phố Hà Nội,00025,01,"Phường Giảng Võ, Thành phố Hà Nội",Xã cũ bị chia tách → nhiều xã mới; is_default_new_ward=TRUE là lựa chọn mặc định
Phường Liễu Giai,6,Phường Liễu Giai,MAPPED,merged,TRUE,Phường Liễu Giai,Quận Ba Đình,Thành phố Hà Nội,00008,001,01,"Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội",Phường Ngọc Hà,Thành phố Hà Nội,00008,01,"Phường Ngọc Hà, Thành phố Hà Nội",
